feature_name,mi_score,rank
highest_android_version,0.07738309592527282,1
ContentRating,0.0712625179457862,2
CurrentVersion,0.05356817471346709,3
privacy_policy_link,0.05349110148412861,4
LastUpdated,0.05346483467066321,5
days_since_last_update,0.05053382920392324,6
isSpamming,0.04450884934636323,7
developer_address,0.03519574675750681,8
developer_website,0.03261952066481344,9
OneStarRatings,0.03253846497868995,10
TwoStarRatings,0.0325334706867364,11
STORAGE,0.032155605008467036,12
lowest_android_version,0.029947392740120815,13
max_downloads_log,0.028614103763316523,14
PHONE,0.028323842536731147,15
FourStarRatings,0.027330117247422958,16
ThreeStarRatings,0.02710427064856491,17
DeveloperCategory,0.024531749431856653,18
AndroidVersion,0.02428282122500347,19
FiveStarRatings,0.023374433323547272,20
LenWhatsNew,0.021868496739946952,21
CONTACTS,0.019272784581054303,22
CAMERA,0.01882686420914359,23
intent,0.01743297265655319,24
LOCATION,0.01628770038468752,25
Genre,0.012482432566740531,26
ReviewsAverage,0.011805555372851106,27
os,0.010264733638049028,28
speech,0.010213469945544063,29
MICROPHONE,0.010050985179509198,30
LenDescription,0.009655906155752625,31
SMS,0.007350327722690064,32
google,0.0055606440195539175,33
CALENDAR,0.005273730828242673,34
net,0.004436020879958313,35
media,0.0036415851065279004,36
file_size,0.0034540343031805865,37
bluetooth,0.0034369374815486076,38
provider,0.00301895727944812,39
paid,0.002564580903653635,40
SENSORS,0.0023305913421660662,41
app,0.0022801157847689435,42
hardware,0.001884111901599983,43
LenTitle,0.0018477487012362737,44
DevRegisteredDomain,0.0013746453871545938,45
developer_email,0.001155590751716451,46
nfc,0.001124072333368531,47
